Assembler,Breadth of coverage,Contigs
BCALM2,0.0417,94
GATBMiniaPipeline,0.9864,33
IDBA-UD,0.9809,77
MEGAHIT,0.9876,41
metaSPAdes,0.985,23
minia,0.9571,175
PANDAseq,-,-
SKESa,0.9627,130
SPAdes,0.9849,22
unicycler,0.9836,17
VelvetOptimizer,0.9525,196
Golden Standard,1,1
