Assembler,Breadth of coverage,Contigs
BCALM2,0.3224,1058
GATBMiniaPipeline,0.9774,95
IDBA-UD,0.9679,394
MEGAHIT,0.9982,116
metaSPAdes,0.9823,67
minia,0.8054,1084
PANDAseq,-,-
SKESa,0.9058,742
SPAdes,0.9787,94
unicycler,0.9752,87
VelvetOptimizer,0.9707,207
Golden Standard,1,1
