Assembler,Breadth of coverage,Contigs
BCALM2,0.0665,163
GATBMiniaPipeline,0.9755,15
IDBA-UD,0.9872,35
MEGAHIT,0.9897,20
metaSPAdes,0.9764,17
minia,0.964,129
PANDAseq,-,-
SKESa,0.9782,81
SPAdes,0.9769,16
unicycler,0.974,16
VelvetOptimizer,0.9639,178
Golden Standard,1,1
