Assembler,Breadth of coverage,Contigs
BCALM2,0.0013,2
GATBMiniaPipeline,0.9444,84
IDBA-UD,0.9398,91
MEGAHIT,0.9499,81
metaSPAdes,0.9404,81
minia,0.9213,237
PANDAseq,-,-
SKESa,0.9223,152
SPAdes,0.9438,82
unicycler,0.9313,80
VelvetOptimizer,0.9133,264
Golden Standard,1,1
